"RowNumNumRep","Var","flowering23yn","flowering12yn","flowering7yn","flowering4yn","nodesize_mean","spurdiam_mean"
"40.9.R8","Ruby Cabernet",1,1,1,1,4.495,7.44
"16.1.R2","Sauvignon blanc",0,0,1,1,3.315,6.57
"18.5.R7","Durif1",0,0,0,0,3.655,7.05
"20.4.R8","Viognier",0,0,1,1,2.9975,7.17
"39.3.R4","Calzin",0,1,1,1,4.07,6.445
"44.1.R2","Ruby Seedless",0,0,1,1,3.89,7.2
"12.10.R5","Melon",0,0,1,1,3.45,5.305
"18.3.R9","Counoise",0,0,1,1,4.14,9.63
"35.3.R1","Tempranillo",0,0,1,1,3.7175,6.215
"20.5.R1","Gewurtztraminer",0,0,1,1,3.48,4.74
"22.1.R3","Rotgipfler",0,0,1,1,2.105,5.38
"12.1.R2","Aligote",0,0,1,1,4.015,4.86
"21.7.R1","Chasselas doree",0,0,1,1,3.24,6.145
"17.2.R3","Ugni blanc/Trebbiano",0,0,1,1,3.9675,6.835
"25.9.R6","Nebbiolo",0,0,1,1,3.38,6
"23.7.R3","Szagos feher",0,1,1,1,4.1775,6.84
"34.5.R5","Morrastel",0,0,1,1,5.1,7.66
"32.3.R1","Zinfandel/Primitivo",0,0,1,1,4.3825,6.005
"23.7.R7","Szagos feher",0,0,1,1,3.15,6.02
"17.2.R1","Ugni blanc/Trebbiano",0,0,1,1,4.2625,6.395
"22.9.R1","Durif2",0,0,1,1,4.895,7.72
"14.3.R3","Carmenere",0,0,1,1,3.77,5.82
"29.3.R6","Schiopettino",0,0,1,1,4.84,7.71
"14.1.R2","Cabernet Sauvignon",0,0,1,1,5.23,6.38
"26.6.R4","Sangiovese",0,0,1,1,3.32,4.86
"32.5.R2","Rkatsiteli",0,0,1,1,4.53,7.72
"22.7.R7","Furmint",0,0,1,1,4.27,6.54
"13.3.R8","Pinot gris",0,0,1,1,3.34,4.07
"13.9.R1","Cabernet franc",0,0,1,1,3.605,4.855
"18.3.R3","Counoise",0,0,1,1,3.89,7.14
"12.10.R3","Melon",0,0,1,1,3.2625,4.76
"20.5.R4","Gewurtztraminer",0,0,1,1,2.82,4.91
"34.1.R1","Macabeo",0,0,1,1,3.5875,5.045
"12.5.R7","Chardonnay",0,0,1,1,3.015,5.6
"38.7.R1","Verdelho",0,0,1,1,2.975,5.99
"32.3.R5","Zinfandel/Primitivo",0,0,1,1,3.785,4.99
"34.7.R3","Palomino",0,0,1,1,3.1625,5.07
"43.3.R2","July Muscat",0,0,1,1,4.2825,4.645
